"Package","Version","Priority"
"leaflet","2.1.1",NA
"leaflet.extras","1.0.0",NA
"leaflet.providers","1.9.0",NA
"leafpm","0.1.0",NA
"leafpop","0.1.0",NA
"lidR","4.0.2",NA
"lifecycle","1.0.3",NA
"linprog","0.9-4",NA
"listenv","0.9.0",NA
"lme4","1.1-31",NA
"lpSolve","5.6.18",NA
"lubridate","1.9.2",NA
"lwgeom","0.2-11",NA
"magic","1.6-1",NA
"magick","2.7.4",NA
"magrittr","2.0.3",NA
"manipulate","1.0.1",NA
"mapdata","2.3.1",NA
"mapedit","0.6.0",NA
"maps","3.4.1",NA
"maptools","1.1-6",NA
"mapview","2.11.0",NA
"markdown","1.5",NA
"Matrix","1.5-3","recommended"
"MatrixModels","0.5-1",NA
"matrixStats","0.63.0",NA
"maxnet","0.1.4",NA
"mclust","6.0.0",NA
"mda","0.5-3",NA
"measurements","1.5.0",NA
"memer","0.1.0.9000",NA
"memoise","2.0.1",NA
"mime","0.12",NA
"miniUI","0.1.1.1",NA
"minqa","1.2.5",NA
"misc3d","0.9-1",NA
"ModelMetrics","1.2.2.2",NA
"modelr","0.1.10",NA
"modelsummary","1.3.0",NA
"move","4.1.12",NA
"moveVis","0.10.6",NA
"multcomp","1.4-23",NA
"multicool","0.1-12",NA
"munsell","0.5.0",NA
"mvtnorm","1.1-3",NA
"nabor","0.5.0",NA
"ncdf4","1.21",NA
"nloptr","2.0.3",NA
"nmcMetIO","0.1.0",NA
"np","0.60-16",NA
"numDeriv","2016.8-1.1",NA
"oai","0.4.0",NA
"openssl","2.0.5",NA
"osmdata","0.2.0",NA
"packcircles","0.3.5",NA
"pacman","0.5.1",NA
"parallelly","1.34.0",NA
"parameters","0.20.3",NA
"patchwork","1.1.2",NA
"pbapply","1.7-0",NA
"pbivnorm","0.6.0",NA
"pbkrtest","0.5.2",NA
"performance","0.10.3",NA
"permute","0.9-7",NA
"pillar","1.8.1",NA
"pixmap","0.4-12",NA
"pkgbuild","1.4.0",NA
"pkgconfig","2.0.3",NA
"pkgdown","2.0.7",NA
"pkgload","1.3.2",NA
"plot3D","1.4",NA
"plotly","4.10.1",NA
"plotmo","3.6.2",NA
"plotrix","3.8-2",NA
"plyr","1.8.8",NA
"png","0.1-8",NA
"poibin","1.5",NA
"polspline","1.1.22",NA
"polyclip","1.10-4",NA
"polynom","1.4-1",NA
"pracma","2.4.2",NA
"praise","1.0.0",NA
"PresenceAbsence","1.1.11",NA
"prettymapr","0.2.4",NA
"prettyunits","1.1.1",NA
"pROC","1.18.0",NA
"processx","3.8.0",NA
"prodlim","2019.11.13",NA
"profvis","0.3.7",NA
"progress","1.2.2",NA
"progressr","0.13.0",NA
"PROJ","0.4.0",NA
"proj4","1.0-12",NA
"promises","1.2.0.1",NA
"protolite","2.2.0",NA
"proxy","0.4-27",NA
"ps","1.7.2",NA
"purrr","1.0.1",NA
"quadprog","1.5-8",NA
"quantreg","5.94",NA
"R.matlab","3.7.0",NA
"R.methodsS3","1.8.2",NA
"R.oo","1.25.0",NA
"R.utils","2.12.2",NA
"R6","2.5.1",NA
"ragg","1.2.5",NA
"randomForest","4.7-1.1",NA
"RANN","2.6.1",NA
"rapidjsonr","1.2.0",NA
"rappdirs","0.3.3",NA
"raster","3.6-14",NA
"rasterVis","0.51.5",NA
"rbibutils","2.2.13",NA
"rcmdcheck","1.4.0",NA
"RColorBrewer","1.1-3",NA
"rcorpora","2.0.0",NA
"Rcpp","1.0.10",NA
"RcppArmadillo","0.12.0.1.0",NA
"RcppEigen","0.3.3.9.3",NA
"RcppProgress","0.4.2",NA
"RcppTOML","0.2.2",NA
"RCurl","1.98-1.10",NA
"Rdpack","2.4",NA
"readr","2.1.4",NA
"readxl","1.4.2",NA
"recipes","1.0.5",NA
"rematch","1.0.1",NA
"rematch2","2.1.2",NA
"remotes","2.4.2",NA
"reprex","2.0.2",NA
"reproj","0.4.3",NA
"reshape","0.8.9",NA
"reshape2","1.4.4",NA
"reticulate","1.28",NA
"rgbif","3.7.7",NA
"rgdal","1.6-4",NA
"rgeos","0.6-1",NA
"rgl","1.0.1",NA
"rJava","1.0-6",NA
"rjson","0.2.21",NA
"rlang","1.0.6",NA
"rlas","1.6.2",NA
"rmarkdown","2.20",NA
"Rmpfr","0.9-1",NA
"rms","6.6-0",NA
"rmsfact","0.0.3",NA
"rnaturalearth","0.3.2",NA
"rnaturalearthdata","0.1.0",NA
"robustbase","0.95-0",NA
"rosm","0.2.6",NA
"roxygen2","7.2.3",NA
"rpart.plot","3.1.1",NA
"rprojroot","2.0.3",NA
"RProtoBuf","0.4.20",NA
"rsample","1.1.1",NA
"RSpectra","0.16-1",NA
"rstatix","0.7.2",NA
"RStoolbox","0.3.0",NA
"rstudioapi","0.14",NA
"rticles","0.24",NA
"Rttf2pt1","1.3.12",NA
"Rvcg","0.22.1",NA
"rversions","2.1.2",NA
"rvest","1.0.3",NA
"rwhatsapp","0.2.4",NA
"rworldmap","1.3-6",NA
"s2","1.1.2",NA
"sandwich","3.0-2",NA
"sass","0.4.5",NA
"satellite","1.0.4",NA
"scales","1.2.1",NA
"scico","1.3.1",NA
"sdm","1.1-8",NA
"selectr","0.4-2",NA
"sen2r","1.5.4",NA
"sentinel2","0.5.4",NA
"servr","0.25",NA
"sessioninfo","1.2.2",NA
"sf","1.0-9",NA
"sfheaders","0.4.0",NA
"sftime","0.2-0",NA
"shape","1.4.6",NA
"shiny","1.7.4",NA
"slider","0.3.0",NA
"slippymath","0.3.1",NA
"SnowballC","0.7.0",NA
"sourcetools","0.1.7-1",NA
"sp","1.6-0",NA
"spacetime","1.2-8",NA
"spam","2.9-1",NA
"SparseM","1.81",NA
"spatstat.data","3.0-0",NA
"spatstat.geom","3.0-6",NA
"spatstat.utils","3.0-1",NA
"SQUAREM","2021.1",NA
"starBliss","0.1.0",NA
"stars","0.6-0",NA
"statmod","1.5.0",NA
"stringdist","0.9.10",NA
"stringi","1.7.12",NA
"stringr","1.5.0",NA
"sudoku","2.8",NA
"suncalc","0.5.1",NA
"svglite","2.1.1",NA
"swfscMisc","1.6",NA
"sys","3.4.1",NA
"systemfonts","1.0.4",NA
"tables","0.9.10",NA
"TeachingDemos","2.12",NA
"tensorflow","2.11.0",NA
"terra","1.7-3",NA
"testthat","3.1.6",NA
"textshaping","0.3.6",NA
"tfautograph","0.3.2",NA
"tfdatasets","2.9.0",NA
"tfruns","1.5.1",NA
"TH.data","1.1-2",NA
"tibble","3.1.8",NA
"tidygeocoder","1.0.5",NA
"tidyr","1.3.0",NA
"tidyselect","1.2.0",NA
"tidyterra","0.4.0",NA
"tidytext","0.4.1",NA
"tidytuesdayR","1.0.2",NA
"tidyverse","2.0.0",NA
"timechange","0.2.0",NA
"timeDate","4022.108",NA
"timevis","2.1.0",NA
"tinytex","0.44",NA
"tokenizers","0.3.0",NA
"triebeard","0.3.0",NA
"tweenr","2.0.2",NA
"tzdb","0.3.0",NA
"units","0.8-1",NA
"urlchecker","1.0.1",NA
"urltools","1.7.3",NA
"usethis","2.1.6",NA
"utf8","1.2.3",NA
"uuid","1.1-0",NA
"V8","4.2.2",NA
"vctrs","0.5.2",NA
"vegan","2.6-4",NA
"viridis","0.6.2",NA
"viridisLite","0.4.1",NA
"vroom","1.6.1",NA
"waldo","0.4.0",NA
"warp","0.2.0",NA
"webshot","0.5.4",NA
"whisker","0.4.1",NA
"withr","2.5.0",NA
"wk","0.7.1",NA
"xfun","0.37",NA
"xlsx","0.6.5",NA
"xlsxjars","0.6.1",NA
"XML","3.99-0.13",NA
"xml2","1.3.3",NA
"xopen","1.0.0",NA
"xtable","1.8-4",NA
"xts","0.13.0",NA
"yaml","2.3.7",NA
"yulab.utils","0.0.6",NA
"zeallot","0.1.0",NA
"zip","2.2.2",NA
"zoo","1.8-11",NA
"base","4.2.2","base"
"boot","1.3-28","recommended"
"class","7.3-20","recommended"
"cluster","2.1.4","recommended"
"codetools","0.2-18","recommended"
"compiler","4.2.2","base"
"datasets","4.2.2","base"
"foreign","0.8-83","recommended"
"graphics","4.2.2","base"
"grDevices","4.2.2","base"
"grid","4.2.2","base"
"KernSmooth","2.23-20","recommended"
"lattice","0.20-45","recommended"
"MASS","7.3-58.1","recommended"
"Matrix","1.5-1","recommended"
"methods","4.2.2","base"
"mgcv","1.8-41","recommended"
"nlme","3.1-160","recommended"
"nnet","7.3-18","recommended"
"parallel","4.2.2","base"
"rpart","4.1.19","recommended"
"spatial","7.3-15","recommended"
"splines","4.2.2","base"
"stats","4.2.2","base"
"stats4","4.2.2","base"
"survival","3.4-0","recommended"
"tcltk","4.2.2","base"
"tools","4.2.2","base"
"translations","4.2.2",NA
"utils","4.2.2","base"
